FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
20230614;14778;210501;SIERRA;PUNO;EL COLLAO;ILAVE;48331;21040;27291;0.62;4761.35;2040.58;6801.93;2021
20230614;14779;210502;SIERRA;PUNO;EL COLLAO;CAPAZO;1066;90;976;0.44;14.45;6.19;20.65;2021
20230614;14780;210503;SIERRA;PUNO;EL COLLAO;PILCUYO;10595;1192;9403;0.44;191.44;82.04;273.48;2021
20230614;14781;210504;SIERRA;PUNO;EL COLLAO;SANTA ROSA;3048;942;2106;0.44;151.29;64.84;216.12;2021
20230614;14782;210505;SIERRA;PUNO;EL COLLAO;CONDURIRI;2315;490;1825;0.8;143.08;61.32;204.4;2021
20230614;14783;210601;SIERRA;PUNO;HUANCANE;HUANCANE;18895;7028;11867;0.24;615.65;263.85;879.5;2021
20230614;14784;210602;SIERRA;PUNO;HUANCANE;COJATA;3982;1356;2626;0.45;222.72;95.45;318.18;2021
20230614;14785;210603;SIERRA;PUNO;HUANCANE;HUATASANI;3071;1222;1849;0.44;196.25;84.11;280.36;2021
20230614;14786;210604;SIERRA;PUNO;HUANCANE;INCHUPALLA;2533;141;2392;0.29;14.92;6.4;21.32;2021
20230614;14787;210605;SIERRA;PUNO;HUANCANE;PUSI ;4998;770;4228;0.44;123.66;53;176.66;2021
20230614;14788;210606;SIERRA;PUNO;HUANCANE;ROSASPATA;3934;416;3518;0.44;66.81;28.63;95.44;2021
20230614;14789;210607;SIERRA;PUNO;HUANCANE;TARACO;13451;1650;11801;0.44;264.99;113.57;378.56;2021
20230614;14790;210608;SIERRA;PUNO;HUANCANE;VILQUE CHICO;7349;792;6557;0.7;202.36;86.72;289.08;2021
20230614;14791;210701;SIERRA;PUNO;LAMPA;LAMPA;11749;5377;6372;0.51;1000.93;428.97;1429.9;2021
20230614;14792;210702;SIERRA;PUNO;LAMPA;CABANILLA;5977;1104;4873;0.44;177.3;75.99;253.29;2021
20230614;14793;210703;SIERRA;PUNO;LAMPA;CALAPUJA;1776;485;1291;0.44;77.89;33.38;111.27;2021
20230614;14794;210704;SIERRA;PUNO;LAMPA;NICASIO;2365;469;1896;0.44;75.32;32.28;107.6;2021
20230614;14795;210705;SIERRA;PUNO;LAMPA;OCUVIRI;2328;632;1696;0.44;101.5;43.5;145;2021
20230614;14796;210706;SIERRA;PUNO;LAMPA;PALCA;1635;556;1079;0.44;89.29;38.27;127.56;2021
20230614;14797;210707;SIERRA;PUNO;LAMPA;PARATIA;2358;778;1580;0.44;124.95;53.55;178.5;2021
